PGF_00005204	PGF_00005204	pgfam	ABC transporter, permease protein
PGF_00005275	PGF_00005275	pgfam	ABC transporter, permease protein YnjC
PGF_00005284	PGF_00005284	pgfam	Flagellar M-ring protein FliF
PGF_00005288	PGF_00005288	pgfam	Flagellar P-ring protein FlgI
PGF_00005331	PGF_00005331	pgfam	Flagellar basal-body P-ring formation protein FlgA
PGF_00005354	PGF_00005354	pgfam	Flagellar basal-body rod protein FlgC
PGF_00005358	PGF_00005358	pgfam	Flagellar basal-body rod protein FlgG
PGF_00005366	PGF_00005366	pgfam	Flagellar biosynthesis protein FlgN
PGF_00005384	PGF_00005384	pgfam	Flagellar biosynthesis protein FlhA
PGF_00005402	PGF_00005402	pgfam	Flagellar biosynthesis protein FliQ
PGF_00005450	PGF_00005450	pgfam	Flagellar hook protein FlgE
PGF_00005454	PGF_00005454	pgfam	Flagellar hook-associated protein FlgK
PGF_00005481	PGF_00005481	pgfam	Flagellar hook-length control protein FliK
PGF_00005500	PGF_00005500	pgfam	Flagellar motor protein
PGF_00005516	PGF_00005516	pgfam	Flagellar motor switch protein FliG
PGF_00005572	PGF_00005572	pgfam	Flagellar protein FlgJ [peptidoglycan hydrolase]
PGF_00005580	PGF_00005580	pgfam	Flagellar protein FlgP
PGF_00005582	PGF_00005582	pgfam	Flagellar protein FlgT
PGF_00005583	PGF_00005583	pgfam	Flagellar protein FlgT
PGF_00005599	PGF_00005599	pgfam	Flagellar protein FliJ
PGF_00005620	PGF_00005620	pgfam	Flagellar regulatory protein FleQ
PGF_00005623	PGF_00005623	pgfam	Flagellar sensor histidine kinase FleS
PGF_00005653	PGF_00005653	pgfam	Flagellin protein FlaA
PGF_00005659	PGF_00005659	pgfam	Flagellin protein FlaC
PGF_00005902	PGF_00005902	pgfam	ABC transporter, substrate-binding protein (cluster 12, methionine/phosphonates)
PGF_00005911	PGF_00005911	pgfam	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)
PGF_00005921	PGF_00005921	pgfam	Flavodoxin 2
PGF_00005948	PGF_00005948	pgfam	Flavoprotein MioC
PGF_00006023	PGF_00006023	pgfam	Type II/IV secretion system protein TadC, associated with Flp pilus assembly
PGF_00006024	PGF_00006024	pgfam	Flp pilus assembly protein TadC
PGF_00006100	PGF_00006100	pgfam	tRNA-modifying protein YgfZ
PGF_00006111	PGF_00006111	pgfam	ABC transporter, transmembrane region:ABC transporter related
PGF_00006130	PGF_00006130	pgfam	Formate dehydrogenase H (EC 1.2.1.2) @ selenocysteine-containing
PGF_00006137	PGF_00006137	pgfam	Formate dehydrogenase O alpha subunit (EC 1.2.1.2) @ selenocysteine-containing
PGF_00006178	PGF_00006178	pgfam	Formate dehydrogenase-O, major subunit (EC 1.2.1.2)
PGF_00006186	PGF_00006186	pgfam	Formate efflux transporter FocA
PGF_00006195	PGF_00006195	pgfam	Na(+) H(+) antiporter subunit A
PGF_00006245	PGF_00006245	pgfam	Formate--tetrahydrofolate ligase (EC 6.3.4.3)
PGF_00006278	PGF_00006278	pgfam	Formiminoglutamic iminohydrolase (EC 3.5.3.13)
PGF_00006280	PGF_00006280	pgfam	Formyl transferase domain protein
PGF_00006320	PGF_00006320	pgfam	Formyltetrahydrofolate deformylase (EC 3.5.1.10)
PGF_00006336	PGF_00006336	pgfam	Frataxin homolog CyaY, facilitates Fe-S cluster assembly, interacts with IscS
PGF_00006351	PGF_00006351	pgfam	Efflux ABC transporter, permease protein
PGF_00006365	PGF_00006365	pgfam	Fructokinase in mannoside utilization gene cluster (EC 2.7.1.4)
PGF_00006377	PGF_00006377	pgfam	Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11)
PGF_00006380	PGF_00006380	pgfam	Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)
PGF_00006392	PGF_00006392	pgfam	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)
PGF_00006394	PGF_00006394	pgfam	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)
PGF_00006445	PGF_00006445	pgfam	Fucose permease
PGF_00006447	PGF_00006447	pgfam	Fumarate and nitrate reduction regulatory protein
PGF_00006454	PGF_00006454	pgfam	Fumarate hydratase class I, aerobic (EC 4.2.1.2)
PGF_00006457	PGF_00006457	pgfam	Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)
PGF_00006461	PGF_00006461	pgfam	Fumarate hydratase class II (EC 4.2.1.2)
PGF_00006462	PGF_00006462	pgfam	Fumarate reductase cytochrome b subunit
PGF_00006506	PGF_00006506	pgfam	Fumarate/succinate/L-aspartate dehydrogenases
PGF_00006510	PGF_00006510	pgfam	Fumarylacetoacetase (EC 3.7.1.2)
PGF_00006653	PGF_00006653	pgfam	Gate supefamily SpmA/SpmB domains protein
PGF_00006732	PGF_00006732	pgfam	GDP-mannose 6-dehydrogenase (EC 1.1.1.132)
PGF_00006733	PGF_00006733	pgfam	GDP-mannose mannosyl hydrolase
PGF_00006751	PGF_00006751	pgfam	GGDEF
PGF_00006754	PGF_00006754	pgfam	GGDEF and EAL domain proteins
PGF_00006821	PGF_00006821	pgfam	GGDEF domain protein
PGF_00006909	PGF_00006909	pgfam	GGDEF/EAL domain protein
PGF_00006912	PGF_00006912	pgfam	GGDEF/HAMP domain protein
PGF_00006931	PGF_00006931	pgfam	GMP reductase (EC 1.7.1.7)
PGF_00006935	PGF_00006935	pgfam	GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)
PGF_00006951	PGF_00006951	pgfam	GNAT family acetyltransferase VC2332
PGF_00006955	PGF_00006955	pgfam	Uncharacterized GNAT family acetyltransferase YiiD
PGF_00006983	PGF_00006983	pgfam	GTP cyclohydrolase I (EC 3.5.4.16) type 2
PGF_00006987	PGF_00006987	pgfam	GTP cyclohydrolase II (EC 3.5.4.25)
PGF_00007007	PGF_00007007	pgfam	GTP pyrophosphokinase (EC 2.7.6.5)
PGF_00007012	PGF_00007012	pgfam	GTP-binding and nucleic acid-binding protein YchF
PGF_00007024	PGF_00007024	pgfam	GTP-binding protein EngA
PGF_00007026	PGF_00007026	pgfam	GTP-binding protein EngB
PGF_00007027	PGF_00007027	pgfam	GTP-binding protein Era
PGF_00007028	PGF_00007028	pgfam	Ribosome LSU-associated GTP-binding protein HflX
PGF_00007041	PGF_00007041	pgfam	GTP-binding protein TypA/BipA
PGF_00007043	PGF_00007043	pgfam	GTP-binding protein related to HflX
PGF_00007054	PGF_00007054	pgfam	GTPase (EC 3.6.1.-)
PGF_00007057	PGF_00007057	pgfam	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE
PGF_00007062	PGF_00007062	pgfam	GTPase subunit of restriction endonuclease
PGF_00007066	PGF_00007066	pgfam	Uncharacterized protein YjqA
PGF_00007067	PGF_00007067	pgfam	GTPases - Sulfate adenylate transferase subunit 1
PGF_00007085	PGF_00007085	pgfam	Galactokinase (EC 2.7.1.6)
PGF_00007092	PGF_00007092	pgfam	Galactonate dehydratase (EC 4.2.1.6)
PGF_00007120	PGF_00007120	pgfam	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
PGF_00007162	PGF_00007162	pgfam	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
PGF_00007163	PGF_00007163	pgfam	Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)
PGF_00007165	PGF_00007165	pgfam	Gamma-butyrobetaine dioxygenase (EC 1.14.11.1)
PGF_00007176	PGF_00007176	pgfam	Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11)
PGF_00007227	PGF_00007227	pgfam	GbcA Glycine betaine demethylase subunit A
PGF_00007228	PGF_00007228	pgfam	GbcA Glycine betaine demethylase subunit A
PGF_00007230	PGF_00007230	pgfam	GbcB Glycine betaine demethylase subunit B
PGF_00007304	PGF_00007304	pgfam	16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)
PGF_00007306	PGF_00007306	pgfam	ABC-type Na+ efflux pump not coupled with H+ or K+ uptake, permease component NatB
PGF_00007313	PGF_00007313	pgfam	General secretion pathway protein B
PGF_00007318	PGF_00007318	pgfam	General secretion pathway protein C
PGF_00007353	PGF_00007353	pgfam	General secretion pathway protein F
PGF_00007379	PGF_00007379	pgfam	General secretion pathway protein H
PGF_00007406	PGF_00007406	pgfam	General secretion pathway protein J
PGF_00007437	PGF_00007437	pgfam	ABC-type Na+ transport system not coupled with H+ or K+ uptake, ATPase component NatA
PGF_00007440	PGF_00007440	pgfam	General secretion pathway protein M
PGF_00007445	PGF_00007445	pgfam	General secretion pathway protein M
PGF_00007519	PGF_00007519	pgfam	Geranyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.5)
PGF_00007570	PGF_00007570	pgfam	Gfa-like protein
PGF_00007575	PGF_00007575	pgfam	Gfa-like protein
PGF_00007576	PGF_00007576	pgfam	GfdT
PGF_00007632	PGF_00007632	pgfam	16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)
PGF_00007664	PGF_00007664	pgfam	Gll1812 protein
PGF_00007666	PGF_00007666	pgfam	Gll1812 protein
PGF_00007677	PGF_00007677	pgfam	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
PGF_00007716	PGF_00007716	pgfam	Gll2498 protein
PGF_00007736	PGF_00007736	pgfam	Gll3568 protein
PGF_00007737	PGF_00007737	pgfam	Gll3595 protein
PGF_00007758	PGF_00007758	pgfam	Gll4071 protein
PGF_00007782	PGF_00007782	pgfam	ABC-type antimicrobial peptide transport system, permease component
PGF_00007812	PGF_00007812	pgfam	Glucans biosynthesis glucosyltransferase H
PGF_00007817	PGF_00007817	pgfam	Glucans biosynthesis protein C (EC 2.1.-.-)
PGF_00007818	PGF_00007818	pgfam	16S rRNA (cytosine(1407)-C(5))-methyltransferase (EC 2.1.1.178)
PGF_00007822	PGF_00007822	pgfam	Glucans biosynthesis protein G precursor
PGF_00007844	PGF_00007844	pgfam	Glucokinase (EC 2.7.1.2)
PGF_00007887	PGF_00007887	pgfam	Gluconokinase (EC 2.7.1.12)
PGF_00007920	PGF_00007920	pgfam	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
PGF_00007925	PGF_00007925	pgfam	Glucosamine-6-phosphate deaminase [isomerizing], alternative (EC 3.5.99.6)
PGF_00007927	PGF_00007927	pgfam	Glucosaminyl-1,4-glucosamine-6-phosphate hydrolase
PGF_00007947	PGF_00007947	pgfam	ABC-type branched-chain amino acid transport systems, periplasmic component
PGF_00007971	PGF_00007971	pgfam	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)
PGF_00007982	PGF_00007982	pgfam	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
PGF_00007988	PGF_00007988	pgfam	Glucose-6-phosphate isomerase (EC 5.3.1.9)
PGF_00008009	PGF_00008009	pgfam	Glucose/galactose transporter
PGF_00008023	PGF_00008023	pgfam	Glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266)
PGF_00008051	PGF_00008051	pgfam	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)
PGF_00008061	PGF_00008061	pgfam	Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA
PGF_00008075	PGF_00008075	pgfam	Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1)
PGF_00008094	PGF_00008094	pgfam	Glutamate decarboxylase (EC 4.1.1.15)
PGF_00008095	PGF_00008095	pgfam	Glutamate decarboxylase, eukaryotic type (EC 4.1.1.15)
PGF_00008106	PGF_00008106	pgfam	Glutamate racemase (EC 5.1.1.3)
PGF_00008115	PGF_00008115	pgfam	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
PGF_00008159	PGF_00008159	pgfam	Glutamate--cysteine ligase (EC 6.3.2.2)
PGF_00008164	PGF_00008164	pgfam	Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)
PGF_00008192	PGF_00008192	pgfam	Glutaminase (EC 3.5.1.2)
PGF_00008239	PGF_00008239	pgfam	Glutamine amidotransferase, class I
PGF_00008258	PGF_00008258	pgfam	Glutamine synthetase type I (EC 6.3.1.2)
PGF_00008261	PGF_00008261	pgfam	Glutamine synthetase type III, GlnN (EC 6.3.1.2)
PGF_00008326	PGF_00008326	pgfam	Glutaminyl-tRNA synthetase (EC 6.1.1.18)
PGF_00008334	PGF_00008334	pgfam	Glutamyl-tRNA reductase (EC 1.2.1.70)
PGF_00008335	PGF_00008335	pgfam	Glutamyl-tRNA synthetase (EC 6.1.1.17)
PGF_00008344	PGF_00008344	pgfam	Glutaredoxin
PGF_00008346	PGF_00008346	pgfam	Glutaredoxin
PGF_00008347	PGF_00008347	pgfam	Glutaredoxin
PGF_00008349	PGF_00008349	pgfam	Glutaredoxin 1
PGF_00008352	PGF_00008352	pgfam	Glutaredoxin 3
PGF_00008354	PGF_00008354	pgfam	Glutaredoxin 3 (Grx1)
PGF_00008355	PGF_00008355	pgfam	Glutaredoxin 3 (Grx2)
PGF_00008393	PGF_00008393	pgfam	Glutaryl-CoA dehydrogenase (EC 1.3.8.6)
PGF_00008415	PGF_00008415	pgfam	Glutathione S-transferase N terminus
PGF_00008420	PGF_00008420	pgfam	Glutathione S-transferase domain protein
PGF_00008439	PGF_00008439	pgfam	Glutathione S-transferase, omega (EC 2.5.1.18)
PGF_00008467	PGF_00008467	pgfam	Glutathione synthetase (EC 6.3.2.3)
PGF_00008469	PGF_00008469	pgfam	Glutathione synthetase (EC 6.3.2.3)
PGF_00008480	PGF_00008480	pgfam	Glutathione-independent formaldehyde dehydrogenase (EC 1.2.1.46)
PGF_00008490	PGF_00008490	pgfam	Glutathione-regulated potassium-efflux system protein
PGF_00008503	PGF_00008503	pgfam	Glutathionylspermidine synthase (EC 6.3.1.8) / Glutathionylspermidine amidohydrolase (EC 3.5.1.78)
PGF_00008509	PGF_00008509	pgfam	D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72)
PGF_00008510	PGF_00008510	pgfam	16S rRNA (guanine(1516)-N(2))-methyltransferase (EC 2.1.1.242)
PGF_00008537	PGF_00008537	pgfam	Glycerol kinase (EC 2.7.1.30)
PGF_00008542	PGF_00008542	pgfam	Glycerol uptake facilitator protein
PGF_00008550	PGF_00008550	pgfam	Glycerol ABC transporter, ATP-binding protein GlpT
PGF_00008591	PGF_00008591	pgfam	Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)
PGF_00008592	PGF_00008592	pgfam	Glycerol ABC transporter, substrate-binding protein GlpV
PGF_00008593	PGF_00008593	pgfam	Ribosome-associated ATPase RbbA
PGF_00008595	PGF_00008595	pgfam	Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)
PGF_00008611	PGF_00008611	pgfam	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
PGF_00008651	PGF_00008651	pgfam	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46)
PGF_00008709	PGF_00008709	pgfam	Glycine betaine ABC transport system, glycine betaine-binding protein OpuAC
PGF_00008745	PGF_00008745	pgfam	Glycine cleavage system transcriptional activator
PGF_00008767	PGF_00008767	pgfam	Glycine cleavage system transcriptional antiactivator GcvR
PGF_00008773	PGF_00008773	pgfam	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)
PGF_00008780	PGF_00008780	pgfam	Glycine oxidase ThiO (EC 1.4.3.19)
PGF_00008789	PGF_00008789	pgfam	ABC-type multidrug transport system, ATPase and permease component
PGF_00008838	PGF_00008838	pgfam	16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)
PGF_00008869	PGF_00008869	pgfam	Glycogen debranching enzyme
PGF_00008874	PGF_00008874	pgfam	Glycogen phosphorylase (EC 2.4.1.1)
PGF_00008876	PGF_00008876	pgfam	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)
PGF_00008882	PGF_00008882	pgfam	Glycolate dehydrogenase (EC 1.1.99.14), FAD-binding subunit GlcE
PGF_00008885	PGF_00008885	pgfam	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF
PGF_00008948	PGF_00008948	pgfam	Glycosyl hydrolase
PGF_00009091	PGF_00009091	pgfam	Glycosyl transferase, WecB/TagA/CpsF family
PGF_00009167	PGF_00009167	pgfam	Glycosyl transferase, family 2
PGF_00009283	PGF_00009283	pgfam	Glycosyl transferase, group 1
PGF_00009382	PGF_00009382	pgfam	Glycosyl transferase, group 1
PGF_00009408	PGF_00009408	pgfam	Glycosyl transferase, group 1 family protein
PGF_00009446	PGF_00009446	pgfam	Glycosyl transferase, group 1 family protein
PGF_00009459	PGF_00009459	pgfam	Glycosyl transferase, group 1 family protein
PGF_00009478	PGF_00009478	pgfam	Glycosyl transferase, group 1 family protein
PGF_00009500	PGF_00009500	pgfam	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)
